EP ID,SMILES,Es-Ea (eV),LUMO_sol (eV),HOMO_sol (eV),Dielectric constant of solvents,binary_features,cluster,PC1,PC2,PC3
ep-608243,CCOC(CC)C(C)(C)C,0.8635238727123030,8.393350161,-7.590886565,8.2726,"[1, 1, 0, 0, 0]",1,-0.4649118413751950,0.7611389077409780,-1.1216889408373600
ep-614193,CCCCOC(C)(C)CC,0.8387471117529010,8.116338313,-7.524218684,5.9717,"[1, 1, 0, 0, 0]",1,-0.7135235566489560,0.7429643922880590,-1.0121215162497600
ep-614195,CCC(C)COC(C)CC,0.926443523215628,8.46491609,-7.600410548,4.4484,"[1, 1, 0, 0, 0]",1,-0.5968262725573040,0.6985692023610810,-0.7784861564979760
ep-614210,CCCCOC(CC)CC,0.8650429702989100,8.273620089,-7.528844618,6.701,"[1, 1, 0, 0, 0]",1,-0.6490962266184520,0.755073494572673,-0.9896704815652160
ep-614224,CCCOC(C)C(C)CC,0.9044689893439260,8.466820887,-7.584627947,6.7157,"[1, 1, 0, 0, 0]",1,-0.5236063951989880,0.7385509752758270,-0.9357964753616990
ep-614265,CCCCOCC(C)(C)C,0.9473826830027100,8.612945998,-7.634424773,7.1965,"[1, 0, 0, 0, 0]",1,-0.5447053211442690,-0.6700053198064960,-0.9805938335961740
ep-614307,CCCCCOCCCC,0.9365208722574660,8.519610964,-7.650751601,5.3405,"[1, 0, 0, 0, 0]",1,-0.6219572813041070,-0.7030071557071630,-0.9270106410677520
ep-625703,CCC(OC)(OC)C(C)C,0.9203449380068700,8.048581976,-7.814564108,5.2986,"[1, 1, 0, 0, 0]",1,-0.16254571909947100,0.5982595913589930,-0.949924088059541
ep-625718,CCC(C)OC(C)C(C)C,0.8547313440414860,8.469542025,-7.510068766,6.1997,"[1, 1, 0, 0, 0]",1,-0.7296739752979020,0.7743706966259670,-0.9985734663886340
ep-625724,CCCOC(C)C(C)(C)C,0.8433929447129190,8.288858462,-7.532109984,7.8915,"[1, 1, 0, 0, 0]",1,-0.6013338212900820,0.7757969454822130,-1.1098703241851000
ep-625750,CC(C)COC(C)C(C)C,0.8878601766146790,8.42409902,-7.585716403,3.488,"[1, 1, 0, 0, 0]",1,-0.7096938629680250,0.7001036828636730,-0.8273668565212720
ep-625874,CC(C)(C)COC(C)(C)C,0.9021737079853170,8.127222865,-7.523130229,5.5166,"[1, 1, 0, 0, 0]",1,-0.6783052080712200,0.7205299208399970,-0.8134804148762810
ep-625885,CCC(C)(C)COC(C)C,0.9300889074094590,8.446140238,-7.595512499,6.047,"[1, 1, 0, 0, 0]",1,-0.5144994853526040,0.7173804019602430,-0.8385134432522000
